ID,name,Food Group,Calories,Fat,Protein,Carbohydrate,Sugars,Fiber,Saturated Fat,Calcium,Iron,Potassium,Magnesium,Vitamin A,Vitamin C,Vitamin B12,Vitamin E,Phosphorus,Sodium,Zinc,Copper,Manganese,Selenium,Thiamin,Riboflavin,Niacin,Vitamin B6,Folate,Choline,Vitamin D,Vitamin K
168136,Ice Creams Chocolate Rich,Sweets,251.0,16.98,4.72,19.78,17.35,0.9,10.377,142,1.02,238,32,201,0.5,0.18,0.46,115,57,0.64,0.175,0.17300000000000000,2.1,0.03,0.16700000000000000,0.182,0.033,5,34.7,12,1.5
168810,Ice Creams Strawberry,Sweets,192.0,8.4,3.2,27.6,0.0,0.9,5.19,120,0.21,188,14,96,7.7,0.3,0.0,100,60,0.34,0.037000000000000000,0.078,1.9,0.045,0.255,0.17,0.05,12,0.0,0,0.0
167575,Ice Creams Vanilla,Sweets,207.0,11.0,3.5,23.6,21.22,0.7,6.79,128,0.09,199,14,118,0.6,0.39,0.3,105,80,0.69,0.023,0.008,1.8,0.041000000000000000,0.24,0.11600000000000000,0.048,5,26.0,8,0.3
167572,Ice Creams Vanilla Light,Sweets,180.0,4.83,4.78,29.46,22.12,0.3,2.927,161,0.19,208,14,128,1.2,0.47,0.12,103,74,0.73,0.017,0.005,2.0,0.053,0.255,0.136,0.045,6,26.0,4,0.4
167573,Ice Creams Vanilla Rich,Sweets,249.0,16.2,3.5,22.29,20.65,0.0,10.329,117,0.34,157,11,182,0.0,0.39,0.51,105,61,0.47,0.008,0.004,3.5,0.041000000000000000,0.16700000000000000,0.08200000000000000,0.045,8,26.0,12,1.3
169641,Jams And Preserves,Sweets,278.0,0.07,0.37,68.86,48.5,1.1,0.01,20,0.49,77,4,0,8.8,0.0,0.12,19,32,0.06,0.1,0.04,2.0,0.016,0.076,0.036000000000000000,0.02,11,10.2,0,0.0
170645,Jams And Preserves Apricot,Sweets,242.0,0.2,0.7,64.4,43.4,0.3,0.01,20,0.49,77,4,10,8.8,0.0,0.13,3,40,0.06,0.1,0.04,2.0,0.0,0.022000000000000000,0.036000000000000000,0.02,1,0.4,0,0.0
169058,Jams And Preserves No Sugar Any Flavor,Sweets,132.0,0.3,0.3,53.42,37.81,2.5,0.016,9,0.4,69,5,0,0.0,0.0,0.09,9,0,0.06,0.024,0.0,1.7,0.0,0.0,0.0,0.02,9,8.0,0,0.0
169642,Jellies,Sweets,266.0,0.02,0.15,69.95,51.22,1.0,0.005,7,0.19,54,6,0,0.9,0.0,0.0,6,30,0.03,0.011000000000000000,0.132,0.4,0.001,0.026000000000000000,0.036000000000000000,0.02,2,10.3,0,0.3
167989,Jelly Gumdrops,Sweets,396.0,0.0,0.0,98.9,58.97,0.1,0.0,3,0.4,5,1,0,0.0,0.0,0.0,1,44,0.0,0.012,0.01,0.8,0.006,0.013000000000000000,0.01,0.005,0,0.0,0,0.0
167991,Jellybeans,Sweets,375.0,0.05,0.0,93.55,70.0,0.2,0.0,3,0.13,37,2,0,0.0,0.0,0.0,4,50,0.05,0.028000000000000000,0.035,1.1,0.004,0.011000000000000000,0.008,0.004,0,0.0,0,0.0
789278,Marshmallow Candy-Coated,Sweets,343.0,0.13,1.16,87.99,72.68,0.1,0.036000000000000000,2,0.17,4,1,0,0.0,0.0,0.0,5,52,0.03,0.065,0.0,1.3,0.001,0.007000000000000000,0.05,0.002,1,0.1,0,0.0
789277,Marshmallow Chocolate Covered,Sweets,375.0,10.4,2.43,75.03,55.74,1.7,6.063,9,0.99,90,35,0,0.0,0.0,0.08,50,61,0.48,0.24,0.0,2.0,0.007000000000000000,0.073,0.256,0.015,2,9.0,0,1.9
789279,Marshmallow Coconut-Coated,Sweets,332.0,5.49,2.42,72.23,52.56,0.8,4.765,5,0.48,63,10,0,0.1,0.0,0.06,23,112,0.31,0.126,0.0,4.9,0.005,0.022000000000000000,0.134,0.041000000000000000,2,3.0,0,0.0
167995,Marshmallows,Sweets,318.0,0.2,1.8,81.3,57.56,0.1,0.056000000000000000,3,0.23,5,2,0,0.0,0.0,0.0,8,80,0.04,0.09700000000000000,0.008,1.7,0.001,0.001,0.078,0.003,1,0.1,0,0.0
784098,Meringues,Sweets,322.0,0.11,7.31,74.29,73.06,0.0,0.0,5,0.1,111,7,0,0.0,0.05,0.0,10,113,0.03,0.021,0.0,13.8,0.002,0.294,0.066,0.003,2,0.6,0,0.0
167587,Milk Chocolate,Sweets,535.0,29.66,7.65,59.4,51.5,3.4,18.509,189,2.35,372,63,59,0.0,0.75,0.51,208,79,2.3,0.491,0.47100000000000000,4.5,0.11200000000000000,0.298,0.386,0.036000000000000000,12,46.1,0,5.7
789226,Milk Chocolate Candy With Fruit And Nuts,Sweets,456.0,24.38,7.58,59.98,51.48,4.3,13.211000000000000,125,1.59,494,69,38,0.2,0.48,1.53,190,47,1.61,0.428,0.0,3.6,0.086,0.233,1.4480000000000000,0.073,20,36.8,0,4.2
168754,Milk Chocolate With Almonds,Sweets,526.0,34.4,9.0,53.4,43.9,6.2,17.701,224,1.63,444,90,52,0.2,0.67,3.14,264,74,1.34,0.42200000000000000,0.624,4.0,0.06,0.435,0.742,0.045,14,46.8,0,5.1
168820,Molasses,Sweets,290.0,0.1,0.0,74.73,74.72,0.0,0.018000000000000000,205,4.72,1464,242,0,0.0,0.0,0.0,31,37,0.29,0.48700000000000000,1.53,17.8,0.041000000000000000,0.002,0.93,0.67,0,13.3,0,0.0
781642,Mousse Chocolate,Sweets,209.0,14.97,4.31,16.24,15.22,0.6,8.714,99,0.56,145,20,154,0.2,0.35,0.47,115,38,0.66,0.078,0.0,7.5,0.038,0.21900000000000000,0.14,0.057,15,72.1,0,1.5
